total_cargo,total_eic,total_mail,departure_airport,combined,timestamp
0.00,0.00,0.00,CWB,2024-05_ZY_5756.0_29.0,2024-05-01 00:30:17
,,,NAT,2024-05_ZY_3651.0_29.0,2024-05-01 00:30:20
0.00,0.00,0.00,AJU,2024-05_ZY_3767.0_30.0,2024-05-01 00:30:17
,,,REC,2024-05_ZY_3514.0_29.0,2024-05-01 00:30:20
0.00,0.00,0.00,LDB,2024-05_ZY_5757.0_29.0,2024-05-01 00:30:17
,,,CWB,2024-05_ZY_5192.0_30.0,2024-05-01 00:30:17
0.00,0.00,0.00,CWB,2024-05_ZY_5192.0_30.0,2024-05-01 00:30:17
,,,CWB,2024-05_ZY_5760.0_30.0,2024-05-01 00:30:18
0.00,0.00,0.00,CWB,2024-05_ZY_5760.0_30.0,2024-05-01 00:30:18
,,,REC,2024-05_ZY_5718.0_30.0,2024-05-01 00:30:21
0.00,0.00,0.00,REC,2024-05_ZY_5718.0_30.0,2024-05-01 00:30:21
,,,LDB,2024-05_ZY_5191.0_30.0,2024-05-01 00:30:19
0.00,0.00,0.00,LDB,2024-05_ZY_5191.0_30.0,2024-05-01 00:30:19
,,,FEN,2024-05_ZY_3418.0_29.0,2024-05-01 00:30:20
0.00,0.00,0.00,FEN,2024-05_ZY_3418.0_29.0,2024-05-01 00:30:20
