combined,timestamp,blockfuel_main1,blockfuel_trim,takeofffuel_main1,takeofffuel_trim,trip_fuel,max_fuel_cap,minimum_tof,taxi_fuel,takeoff_fuel
2024-05_AB_2334.0_30.0,2024-04-30 12:22:54,,,,,3390.0,20724.0,7199.0,319.0,7281.0
2024-05_AB_2334.0_30.0,2024-04-30 12:22:54,,,,,,,,,
2024-05_AB_2376.0_30.0,2024-04-30 12:24:25,,,,,3186.0,21961.0,6668.0,341.0,6759.0
2024-05_AB_2376.0_30.0,2024-04-30 12:24:25,,,,,,,,,
2024-05_AB_2407.0_30.0,2024-04-30 12:25:18,,,,,4751.0,21961.0,10804.0,253.0,13247.0
2024-05_AB_2407.0_30.0,2024-04-30 12:25:18,,,,,,,,,
2024-05_AB_2550.0_30.0,2024-04-30 12:44:19,,,,,2802.0,21961.0,6084.0,330.0,6170.0
2024-05_AB_2550.0_30.0,2024-04-30 12:44:19,,,,,,,,,
2024-05_AB_2341.0_30.0,2024-04-30 12:45:25,,,,,3204.0,21961.0,6674.0,341.0,6674.0
2024-05_AB_2368.0_30.0,2024-04-30 12:50:26,,,,,1772.0,21961.0,6067.0,330.0,6067.0
2024-05_AB_2643.0_30.0,2024-04-30 12:51:27,,,,,2917.0,21961.0,9756.0,286.0,9756.0
2024-05_AB_2369.0_30.0,2024-04-30 12:57:28,,,,,1924.0,21961.0,6969.0,253.0,6969.0
2024-05_AB_2369.0_30.0,2024-04-30 13:00:59,,,,,1924.0,21961.0,6969.0,253.0,6969.0
2024-05_AB_2366.0_30.0,2024-04-30 13:04:01,,,,,3424.0,21961.0,7591.0,352.0,7591.0
2024-05_AB_2630.0_30.0,2024-04-30 13:07:02,,,,,4503.0,20724.0,8209.0,319.0,8209.0
2024-05_AB_2120.0_30.0,2024-04-30 13:16:07,,,,,3896.0,21961.0,7665.0,341.0,7759.0
2024-05_AB_2120.0_30.0,2024-04-30 13:16:07,,,,,,,,,
2024-05_AB_2318.0_30.0,2024-04-30 13:16:33,,,,,2880.0,20724.0,6363.0,253.0,6363.0
2024-05_AB_2358.0_30.0,2024-04-30 13:19:51,,,,,4660.0,21961.0,13952.0,209.0,13991.0
2024-05_AB_2358.0_30.0,2024-04-30 13:19:51,,,,,,,,,
2024-05_AB_2508.0_30.0,2024-04-30 13:25:04,,,,,2360.0,20724.0,7813.0,275.0,7813.0
